r,theoretical,observed_1,simulation_mean_1,simulation_low_1,simulation_high_1,observed_2,simulation_mean_2,simulation_low_2,simulation_high_2,observed_3,simulation_mean_3,simulation_low_3,simulation_high_3,observed_4,simulation_mean_4,simulation_low_4,simulation_high_4
2.5,19.6349540849362,32,26.176,6.4,41.6,80,65.44,35.2,86.4,0,63.616,16,89.6,73.6,62.496,32,83.2
2.55,20.4282062299676,32,28.96,6.4,48,80,68.416,35.2,89.6,0,63.616,16,89.6,73.6,63.392,32,86.4
2.6,21.237166338267,35.2,30.624,6.4,51.2,80,68.416,35.2,89.6,0,63.616,16,89.6,73.6,66.816,32,89.6
2.65,22.0618344098343,35.2,30.624,6.4,51.2,80,68.416,35.2,89.6,0,63.616,16,89.6,76.8,67.68,32,92.8
2.7,22.9022104446696,35.2,30.624,6.4,51.2,80,68.416,35.2,89.6,0,64.608,16,92.8,76.8,68.576,32,96
2.75,23.7582944427728,35.2,30.624,6.4,51.2,80,69.568,38.4,89.6,0,65.568,16,92.8,76.8,68.576,32,96
2.8,24.630086404144,38.4,32.32,6.4,54.4,80,71.552,38.4,89.6,0,65.568,16,92.8,83.2,73.12,35.2,99.2
2.85,25.5175863287831,38.4,32.32,6.4,54.4,80,71.552,38.4,89.6,0,68.192,22.4,96,89.6,76.768,38.4,102.4
2.9,26.4207942166902,41.6,35.104,9.6,60.8,80,72.16,38.4,89.6,0,68.192,22.4,96,92.8,79.744,38.4,108.8
2.95,27.3397100678652,41.6,35.104,9.6,60.8,80,72.16,38.4,89.6,0,68.192,22.4,96,96,83.456,41.6,112
3,28.2743338823081,41.6,35.104,9.6,60.8,80,72.16,38.4,89.6,0,68.192,22.4,96,96,86.24,41.6,115.2
3.05,29.2246656600191,41.6,35.104,9.6,60.8,80,72.16,38.4,89.6,0,68.192,22.4,96,99.2,90.336,48,118.4
3.1,30.1907054009979,41.6,36.032,9.6,60.8,80,73.824,38.4,89.6,0,68.192,22.4,96,99.2,91.04,51.2,118.4
3.15,31.1724531052447,41.6,36.032,9.6,60.8,80,73.824,38.4,89.6,0,68.192,22.4,96,102.4,98.272,54.4,124.8
3.2,32.1699087727595,44.8,38.624,12.8,67.2,80,73.824,38.4,89.6,0,68.192,22.4,96,102.4,100.416,54.4,128
3.25,33.1830724035422,44.8,38.624,12.8,67.2,80,73.824,38.4,89.6,0,69.28,25.6,96,108.8,105.536,57.6,137.6
3.3,34.2119439975929,48,41.28,12.8,70.4,80,74.912,38.4,89.6,0,69.28,25.6,96,108.8,105.536,57.6,137.6
3.35,35.2565235549115,48,41.28,12.8,70.4,80,74.912,38.4,89.6,0,69.28,25.6,96,112,107.36,60.8,137.6
3.4,36.316811075498,48,43.328,12.8,70.4,80,74.912,38.4,89.6,0,69.28,25.6,96,112,109.248,64,140.8
3.45,37.3928065593525,51.2,45.792,16,73.6,80,74.912,38.4,89.6,0,69.28,25.6,96,112,113.248,64,147.2
3.5,38.484510006475,54.4,46.816,16,76.8,80,74.912,38.4,89.6,0,69.28,25.6,96,112,114.528,67.2,150.4
3.55,39.5919214168654,54.4,47.904,16,76.8,80,75.936,38.4,92.8,3.2,70.176,25.6,96,112,115.392,67.2,150.4
3.6,40.7150407905237,54.4,47.904,16,76.8,80,75.936,38.4,92.8,3.2,71.296,28.8,99.2,118.4,120.256,73.6,160
3.65,41.85386812745,54.4,49.568,16,76.8,80,75.936,38.4,92.8,3.2,71.296,28.8,99.2,121.6,124.928,80,163.2
3.7,43.0084034276443,54.4,49.568,16,76.8,80,75.936,38.4,92.8,3.2,71.968,32,102.4,128,129.376,86.4,163.2
3.75,44.1786466911065,57.6,50.272,16,76.8,80,75.936,38.4,92.8,3.2,71.968,32,102.4,131.2,130.112,86.4,163.2
3.8,45.3645979178366,60.8,51.232,16,76.8,80,75.936,38.4,92.8,3.2,71.968,32,102.4,137.6,135.616,89.6,169.6
3.85,46.5662571078347,60.8,52.416,19.2,80,80,75.936,38.4,92.8,3.2,71.968,32,102.4,144,139.264,89.6,172.8
3.9,47.7836242611008,60.8,53.344,19.2,80,80,77.088,38.4,92.8,3.2,71.968,32,102.4,144,141.376,89.6,176
3.95,49.0166993776348,60.8,54.976,22.4,80,80,77.088,38.4,92.8,3.2,71.968,32,102.4,147.2,143.04,92.8,176
4,50.2654824574367,60.8,55.968,22.4,80,80,77.952,38.4,92.8,3.2,71.968,32,102.4,147.2,147.04,96,185.6
4.05,51.5299735005066,64,57.088,22.4,83.2,80,78.784,38.4,96,3.2,71.968,32,102.4,147.2,149.248,96,188.8
4.1,52.8101725068444,67.2,58.88,22.4,83.2,80,78.784,38.4,96,6.4,72.992,32,102.4,150.4,150.976,99.2,188.8
4.15,54.1060794764502,67.2,58.88,22.4,83.2,80,78.784,38.4,96,9.6,73.76,32,102.4,150.4,152.832,99.2,188.8
4.2,55.4176944093239,67.2,60.768,22.4,83.2,80,78.784,38.4,96,9.6,75.744,32,102.4,153.6,156.416,105.6,195.2
4.25,56.7450173054656,67.2,60.768,22.4,83.2,80,78.784,38.4,96,9.6,75.744,32,102.4,160,160.8,108.8,198.4
4.3,58.0880481648753,67.2,61.824,22.4,86.4,80,78.784,38.4,96,9.6,75.744,32,102.4,163.2,162.752,112,198.4
4.35,59.4467869875529,67.2,63.04,22.4,89.6,80,79.648,41.6,96,9.6,75.744,32,102.4,172.8,165.952,112,201.6
4.4,60.8212337734984,70.4,65.6,25.6,89.6,80,79.648,41.6,96,16,77.312,32,102.4,176,168.224,115.2,208
4.45,62.2113885227119,76.8,67.648,25.6,92.8,80,79.648,41.6,96,19.2,78.336,32,102.4,176,168.224,115.2,208
4.5,63.6172512351933,80,69.568,25.6,96,80,79.648,41.6,96,19.2,79.104,32,102.4,182.4,171.072,118.4,208
4.55,65.0388219109427,80,69.568,25.6,96,80,79.648,41.6,96,19.2,79.104,32,102.4,182.4,172.896,118.4,211.2
4.6,66.47610054996,80,70.56,25.6,96,80,79.648,41.6,96,22.4,79.872,32,105.6,185.6,174.848,121.6,214.4
4.65,67.9290871522453,80,70.56,25.6,96,80,79.648,41.6,96,25.6,81.632,32,108.8,185.6,177.696,124.8,214.4
4.7,69.3977817177985,80,70.56,25.6,96,83.2,81.728,44.8,99.2,25.6,81.632,32,108.8,185.6,177.696,124.8,214.4
4.75,70.8821842466197,80,72.32,25.6,99.2,83.2,82.976,48,102.4,25.6,81.632,32,108.8,192,182.336,124.8,214.4
4.8,72.3822947387089,80,73.376,28.8,102.4,83.2,82.976,48,102.4,25.6,81.632,32,108.8,195.2,186.4,124.8,224
4.85,73.8981131940659,83.2,74.368,32,102.4,83.2,83.936,48,102.4,25.6,81.632,32,108.8,195.2,189.056,124.8,224
4.9,75.4296396126909,83.2,75.168,32,102.4,83.2,86.56,48,105.6,35.2,84.288,38.4,108.8,198.4,193.92,124.8,230.4
4.95,76.9768739945839,83.2,76.576,32,102.4,83.2,87.776,48,108.8,35.2,84.288,38.4,108.8,201.6,197.376,131.2,240
5,78.5398163397448,83.2,78.752,32,105.6,89.6,91.072,48,115.2,38.4,85.184,38.4,108.8,204.8,203.136,144,246.4
5.05,80.1184666481737,83.2,79.424,35.2,105.6,89.6,91.072,48,115.2,41.6,86.016,41.6,108.8,208,206.72,147.2,249.6
5.1,81.7128249198705,83.2,79.424,35.2,105.6,89.6,91.968,48,115.2,41.6,86.016,41.6,108.8,208,211.008,147.2,252.8
5.15,83.3228911548353,83.2,80.416,35.2,105.6,89.6,93.696,48,118.4,41.6,86.016,41.6,108.8,211.2,214.816,153.6,256
5.2,84.948665353068,86.4,82.176,38.4,108.8,92.8,95.52,48,121.6,41.6,86.016,41.6,108.8,211.2,216.768,160,259.2
